Backswing,ÉÏ¸Ë
Bunker,É³¿Ó
Driver,Ò»ºÅÄ¾¸Ë
Green,¹ûÁë
Grip,ÎÕ¸Ë
Hazard,ÕÏ°­
Hole,Çò¶´
Address,ÃéÇò
Putt,ÍÆ¸Ë
Tee,Çò×ù
Golfer,¸ß¶û·òÇòÊÖ
