cycling,自行车赛
freewheel,飞轮
saddle,车座
carrier,行李架
crossbar,大梁
dynamo,车尾灯
reflector,反光灯
spoke,轮辐车条
rim,车圈
cyclist,骑车者
handlebars,车把
